"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"WiFi Antenna Design and Modeling using Artificial Neural Networks","P. k. Abbassi; N. M. Badra; A. M. M. A. Allam; A. El-Rafei","Department of Mathematics, German University in Cairo, Cairo, Egypt; Department of Engineering Physics and Mathematics, Ain Shams University, Cairo, Egypt; Department of Electrical and Communication Engineering, German University in Cairo, Cairo, Egypt; Department of Engineering Physics and Mathematics, Ain Shams University, Cairo, Egypt","2019 International Conference on Innovative Trends in Computer Engineering (ITCE)","21 Feb 2019","2019","","","270","274","Artificial neural networks (ANN) have gained popularity in microwave modeling, design and simulations. This article is devoted to designing efficient antenna to achieve high gain and optimal impedance matching in addition to employing ANN to model the microstrip antenna. The proposed elliptical patch antenna operates at 2.4 GHz used for wireless applications. The ANN is fed with data set derived by CST EM simulator to train and test the NN model. The feed-forward back-propagation ANN is used along with Levenberg-Marquart (LM) learning algorithm to model the antenna. Extensive analyses has been carried out to provide an efficient ANN model by the aid of statistical measures as mean square error (MSE), mean error and standard deviation error. Moreover, the proposed antenna is fabricated and measured. A high agreement between simulated and measured antenna return loss is illustrated.","","978-1-5386-5261-9","10.1109/ITCE.2019.8646616","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8646616","Artificial neural networks;Microstrip antenna;WiFi antenna","Artificial neural networks;Microstrip antennas;Microstrip;Antenna measurements;Wireless fidelity;Loss measurement","antenna radiation patterns;backpropagation;impedance matching;learning (artificial intelligence);mean square error methods;microstrip antennas;neural nets;UHF antennas;wireless LAN","feedforward back-propagation ANN;antenna return loss;mean error;wireless applications;elliptical patch antenna;microstrip antenna;optimal impedance;high gain;microwave modeling;artificial neural networks;WiFi antenna design;frequency 2.4 GHz","","3","","20","","21 Feb 2019","","","IEEE","IEEE Conferences"
"Human Activity Detection via WiFi Signals Using Deep Neural Networks","C. Lee; X. Huang","Dept. of Electr. Eng., Yuan Ze Univ., Taoyuan, Taiwan; Dept. of Electr. Eng., Yuan Ze Univ., Taoyuan, Taiwan","2018 IEEE/ACM International Conference on Utility and Cloud Computing Companion (UCC Companion)","10 Jan 2019","2018","","","3","4","This study proposes a WiFi-based activity detection system using deep neural networks to detect the indoor human states. This system captures useful amplitude information from the channel state information and converts the information to two-dimensional arrays. Next, the two-dimensional arrays are used as inputs to deep neural networks to distinguish the moving and stationary states of people. The powerful inference of deep neural networks simplify the feature extraction and also improve the accuracy of the classification of indoor human states. Our prototype shows that the proposed system can work with WiFi signals with even higher accuracy.","","978-1-7281-0359-4","10.1109/UCC-Companion.2018.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8605740","human detection, wireless sensing, channel state information, deep neural networks","Wireless fidelity;Monitoring;Neural networks;Wireless communication;Sensors;Biomedical monitoring;Channel state information","feature extraction;neural nets;wireless LAN","human activity detection;WiFi signals;deep neural networks;WiFi-based activity detection system;channel state information;two-dimensional arrays;amplitude information;indoor human state classification","","","","9","","10 Jan 2019","","","IEEE","IEEE Conferences"
"A WiFi fingerprint based high-adaptability indoor localization via machine learning","J. Xue; J. Liu; M. Sheng; Y. Shi; J. Li","School of Telecommunication Engineering, Xidian University, Xi'an 710071, China; State Key Laboratory of Integrated Service Networks, Xidian University, Xi'an 710071, China; State Key Laboratory of Integrated Service Networks, Xidian University, Xi'an 710071, China; State Key Laboratory of Integrated Service Networks, Xidian University, Xi'an 710071, China; State Key Laboratory of Integrated Service Networks, Xidian University, Xi'an 710071, China","China Communications","24 Jul 2020","2020","17","7","247","259","For received signal strength (RSS) fingerprint based indoor localization approaches, the localization accuracy is significantly influenced by the RSS variance, device heterogeneity and environment complexity. In this work, we present a high-adaptability indoor localization (HAIL) approach, which leverages the advantages of both relative RSS values and absolute RSS values to achieve robustness and accuracy. Particularly, a backpropagation neural network (BPNN) is devised in HAIL to measure the fingerprints similarities based on absolute RSS values. With this aid, the characteristics of the applied area could be specially learned such that HAIL could be adaptive to different environments. The experiments demonstrate that HAIL achieves high localization accuracy with the average localization error of 0.87m in the typical environments. Moreover, HAIL has the minimum amount of large errors and decreases the average localization error by about 30%~50% compared with the existing approaches.","1673-5447","","10.23919/J.CC.2020.07.018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9147147","indoor localization;WiFi fingerprint;machine learning;RSS","Fingerprint recognition;Wireless fidelity;Robustness;Atmospheric measurements;Particle measurements;Fingers;Databases","backpropagation;indoor radio;learning (artificial intelligence);neural nets;RSSI;telecommunication computing;wireless LAN","relative RSS values;absolute RSS values;backpropagation neural network;HAIL;fingerprints similarities;high localization accuracy;average localization error;machine learning;RSS variance;device heterogeneity;environment complexity;high-adaptability indoor localization approach;received signal strength fingerprint based indoor localization approaches;WiFi fingerprint based high-adaptability indoor localization","","10","","","","24 Jul 2020","","","IEEE","IEEE Magazines"
"Recurrent Neural Networks for Transmission Opportunity Forecasting","P. A. L. Ferreira; S. S. Fernandes; R. R. Bezerra; M. V. Lamar; J. L. Bordim",NA; NA; NA; NA; NA,"2016 IEEE 13th International Conference on Mobile Ad Hoc and Sensor Systems (MASS)","16 Jan 2017","2016","","","382","383","One of the major challenges in opportunistic networks is the correct identification of a transmission opportunity and its corresponding duration. In this work, recurrent neural network structures are investigated for transmission opportunity forecast. The proposed method is based on in-channel spectrum sensing and the use of Elman recurrent neural network to model the occupation of the channel. The results, based on real experiment measurements, using a Software Defined Radio for monitoring of a Wi-Fi channel shows that, in the evaluated scenarios even a small neural network is able to achieves 99.9% of correct transmission opportunity identification rate.","2155-6814","978-1-5090-2833-7","10.1109/MASS.2016.063","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7815057","Opportunity forecasting;recurrent neural networks;wifi 802.11","Recurrent neural networks;Neurons;Training;Cognitive radio;Monitoring;Context;Protocols","radio spectrum management;recurrent neural nets;signal detection;software radio;wireless LAN","recurrent neural network structures;transmission opportunity forecasting;opportunistic networks;in-channel spectrum sensing;Elman recurrent neural network;channel occupation;software defined radio;Wi-Fi channel monitoring;transmission opportunity identification","","2","","5","","16 Jan 2017","","","IEEE","IEEE Conferences"
"Cascaded Layered Recurrent Neural Network for Indoor Localization in Wireless Sensor Networks","H. Turabieh; A. Sheta","Taif University,Information Technology Department CIT collage,Taif,KSA; Southern Connecticut State University,Computer Science Department,New Haven,CT,USA,06515","2019 2nd International Conference on new Trends in Computing Sciences (ICTCS)","5 Dec 2019","2019","","","1","6","The growth in using various smart wireless devices in the last few decades has given rise to indoor localization service (ILS). Indoor localization is defined as the process of locating a user location in an indoor environment. Indoor device localization has been widely studied due to its popular applications in public settlement planning, health care zones, disaster management, the implementation of location-based services (LBS) and the Internet of Things (IoT). The ILS problem can be formulated as a learning problem utilizing Wi-Fi technology. The measured Wi-Fi signal strength can be used as an indication of the distribution of users in a various indoor location. Developing a classification model with high accuracy can be achieved using a machine learning approach. Artificial Neural Network is one of the most successful trends in machine learning. In this article, we provide our initial idea of using Cascaded Layered Recurrent Neural Network (L-RNN) for the classification of user localization in an indoor environment. Several neural network models were trained, with the best performance attainment is reported. The experimental results marked that the presented L-RNN model is highly accurate for indoor localization and can be utilized for many applications.","","978-1-7281-2882-5","10.1109/ICTCS.2019.8923086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8923086","Layered Recurrent Neural Network;User Localization;Indoor Environment;Prediction","Buildings;Recurrent neural networks;Machine learning;Wireless communication;Wireless fidelity;Wireless sensor networks;Internet of Things","indoor radio;learning (artificial intelligence);recurrent neural nets;wireless LAN;wireless sensor networks","user location;indoor environment;indoor device localization;location-based services;ILS problem;Wi-Fi technology;measured Wi-Fi signal strength;indoor location;Artificial Neural Network;Layered Recurrent Neural Network;user localization;neural network models;wireless sensor networks;smart wireless devices;indoor localization service","","1","","40","","5 Dec 2019","","","IEEE","IEEE Conferences"
"Neural network based medical decision making using wearable technology","H. Mechlih; M. M. Mechlih","Power Train Manufacturing Department, Ford Motor Company, Livonia, Michigan, USA; Vincent Massey School, Windsor, Ontario, Canada","2015 12th Learning and Technology Conference","10 Oct 2016","2015","","","36","38","The process of making suitable decision as well as the ability to independently manage medical conditions for patient is very important for medical students (residents and fellows). A shared decision-making using artificial neural network (NN) is used in this study to optimize decision process. This method will also help medical resident to achieve competence and increase their performance. NN is probably the best model to simulate human brain decision making process. In this study, each input neuron used in the network will represent a decision output of a real physician biological neural network. Numerical values assigned to each neuron in the input layer represent measurable decisions made by each subject matter participants (resident students, fellows and physicians). The output layer represents an aided real time decision which incorporates all processed input values. Several hidden neural layers are also used to process and measure all the data in the network. In traditional schools, high learning performance is usually achieved by reducing the number of students or increasing the number of teachers in class. This proposed method will mimic or create a virtual class where the teachers will outnumber students. Wearable Technology (WT), namely “Google Glass” is used in this process to transmit live video stream via Wi-Fi which could be received by participant's tablet, smart phone or personal computer. This proposed “learning by sharing decision” model may prove effective to medical student outcomes.","","978-1-4799-8346-9","10.1109/LT.2015.7587227","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7587227","Wearable Technology;Group Decision;Artificial Neural Network;Google Glass","Neurons;Google;Glass;Artificial neural networks;Biological neural networks;Decision making;Medical services","biomedical education;computer aided instruction;decision making;educational institutions;medical computing;neural nets;optimisation;patient care;smart phones;video streaming;wearable computers;wireless LAN","neural network based medical decision making;wearable technology;medical condition management;medical students;shared decision-making;artificial neural network;decision process optimization;human brain decision making process;real physician biological neural network;subject matter participants;hidden neural layers;Google Glass;live video stream transmission;Wi-Fi;smart phone;personal computer;learning by sharing decision;medical student","","","","5","","10 Oct 2016","","","IEEE","IEEE Conferences"
"Machine Learning-based Urban Mobility Monitoring System","M. Bertolusso; M. Spanu; V. Popescu; M. Fadda; D. Giusto","University of Cagliari, UdR CNIT of Cagliari,DIEE,Cagliari,Italy; University of Cagliari, UdR CNIT of Cagliari,DIEE,Cagliari,Italy; University of Transilvabia,Brasov,Romania; University of Sassari,Sassari,Italy; University of Cagliari, UdR CNIT of Cagliari,DIEE,Cagliari,Italy","2022 IEEE 19th Annual Consumer Communications & Networking Conference (CCNC)","10 Feb 2022","2022","","","747","748","This article analyzes how streams of people move around a city. Wi-Fi sniffing techniques and camera systems are used for classifying vehicles, people, bicycles and scooters. The system is able to detect the presence of people by sniffing the mac address of the smartphone’s Wi-Fi radio interface and with the use of cameras to monitor the presence of people, vehicles, and other means of transport, classifying them through the contribution of neural networks. The proposed solution has a high level of reliability overcoming the limits of a single technological system that offers imprecise and inaccurate monitoring.","2331-9860","978-1-6654-3161-3","10.1109/CCNC49033.2022.9700694","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9700694","Machine learning;neural network;flow monitoring;Sniffing;Localization;Social impact;IoT","Economics;Recurrent neural networks;Smart cities;Motorcycles;Machine learning;Cameras;Convolutional neural networks","","","","","","13","IEEE","10 Feb 2022","","","IEEE","IEEE Conferences"
"Research on Radio Frequency Finerprint Licalization based on Machine Learning","Z. Chen","Engineering, University of Bristol,Bristol,The UK,BS8 1QU","2021 3rd International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)","17 Mar 2022","2021","","","1","4","With the proliferation of the internet and mobile devices, location-based service (LBS) has become an indispensable part of everyday activities. Moreover, as a lot of indoor activities are conducted within concrete buildings with dense obstacles, localization methods that are able to provide accurate information with efficiency in such complex environments, is key to successful application of LBS. A variety of positioning technologies have been developed over the years. This paper has investigated and compared various machine learning methods for the prediction of locations based on RSS data. It introduces the recent development of RSS technology in indoor localization and further investigates the application of machine learning methods for location prediction. WIFI-based RSS methods address the challenges in indoor localization where GPS and sensor networks failed to solve. Machine learning models which predict location or coordinates generally achieve high accuracy. However, the choice of specific models depends on the environment setup. The application of RSS methods addresses the difficulties in localization in environments with obstacles. While significant improvement in accuracy can be achieved by machine learning techniques, the computational cost is still controllable with customization in environmental and device setup. The cost-benefit suggests further research in this area will be beneficial and potentially profitable for industrialization.","","978-1-6654-1790-7","10.1109/MLBDBI54094.2021.00008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9730949","RSS method;machine learning methods;RSS technology;Machine learning models","Location awareness;Computational modeling;Buildings;Machine learning;Predictive models;Mobile handsets;Data models","","","","","","16","","17 Mar 2022","","","IEEE","IEEE Conferences"
"Vertical Handover Decision based on Hybrid Artificial Neural Networks in HetNets of 5G","S. Kunarak; T. Duangchan","Srinakharinwirot University,Department of Electrical Engineering,Ongkharak,Nakhon-Nayok,Thailand,26120; Srinakharinwirot University,Department of Electrical Engineering,Ongkharak,Nakhon-Nayok,Thailand,26120","2021 IEEE Region 10 Symposium (TENSYMP)","4 Oct 2021","2021","","","1","6","The vertical handover process is the most significant in the heterogeneous wireless networks for fifth generation (5G). The main goal of 5G mobile communication systems is to keep the always best connected (ABC) in order to provide satisfying the Quality of Service (QoS). In this paper, the Wireless Fidelity (Wi-Fi) or Wireless Local Area Network (WLAN), Mobile Worldwide Interoperability for Microwave Access (Mobile WiMAX) and Long Term Evolution (LTE) are integrated as the ubiquitous wireless networks. Also, the authors propose the hybrid artificial neural networks (HANNs) that combines the back-propagation neural networks (BPNNs) and the radial basis function neural networks (RBFNNs). The HANNs help to decide when the handover could happen that is proper. To guarantee of the proposed method, the number of handover, the number of blocked call, the throughput data transmissions and the data latency are illustrated compared with the other two previous approaches, respectively.","2642-6102","978-1-6654-0026-8","10.1109/TENSYMP52854.2021.9550952","Srinakharinwirot University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9550952","heterogeneous networks;hybrid neural networks;ubiquitous networks;vertical handover;wireless communications","5G mobile communication;Artificial neural networks;Radial basis function networks;Quality of service;Handover;WiMAX;Throughput","5G mobile communication;Long Term Evolution;mobility management (mobile radio);neural nets;quality of service;radial basis function networks;WiMax;wireless LAN","Mobile Worldwide Interoperability;Mobile WiMAX;ubiquitous wireless networks;hybrid artificial neural networks;back-propagation neural networks;radial basis function neural networks;vertical handover decision;vertical handover process;heterogeneous wireless networks;5G mobile communication systems;Wireless Fidelity;Wireless Local Area Network","","","","14","","4 Oct 2021","","","IEEE","IEEE Conferences"
"A Stacked Neural Network-Based Machine Learning Framework to Detect Activities and Falls Within Multiple Indoor Environments Using Wi-Fi CSI","D. Konings; R. Grace; F. Alam","Department of Mechanical & Electrical Engineering, Massey University, Auckland, New Zealand; Department of Mechanical & Electrical Engineering, Massey University, Auckland, New Zealand; Department of Mechanical & Electrical Engineering, Massey University, Auckland, New Zealand","IEEE Sensors Letters","19 May 2021","2021","5","5","1","4","Device-free methods for activity or fall detection using Wi-Fi channel state information (CSI) have become popular in the literature as they are not intrusive to privacy like competing camera-based solutions. However, such methods require significant setup processes. The objective of this letter is to improve upon the current CSI-based systems by proposing a two-stage modular architecture. A stacked neural network is developed that selects which environment or room a person is located within, before engaging a room-level model for activity recognition. This allows machine learning models to be iteratively deployed to multiple environments without retraining previously deployed room-level models.","2475-1472","","10.1109/LSENS.2021.3075671","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9416788","Sensor applications;activity detection;channel state information (CSI);convolutional neural network (CNN);device-free localization (DFL);fall detection;feature recognition;human sensing;machine learning;Wi-Fi sensing","Activity recognition;Sensors;Training;Transfer learning;Testing;Data models;Wireless fidelity","cameras;learning (artificial intelligence);neural nets;wireless LAN","activity detection;fall detection;machine learning models;activity recognition;room-level model;two-stage modular architecture;CSI-based systems;significant setup processes;camera-based solutions;Wi-Fi channel state information;device-free methods;multiple indoor environments;stacked neural network","","1","","21","IEEE","27 Apr 2021","","","IEEE","IEEE Journals"
